;idx;category;name;url;keywords;desc;desc_rapport;url_corrected;url_final;ydt_id;Label;timeset;isseed;seedrank;subscribercount;videocount;viewcount(100s);country;publishedat;daysactive
123;151;Biologie, médecine et paléontologie;Ascl&pios;https://www.youtube.com/channel/UCDqEttzOpPbDoeC05HRPPDQ;Médecine-Histoire-Anecdotes-Maladies-Traitements-Médicaments;« La Médecine à l'ancienne, genre... Vraiment à l'ancienne La chaîne est dédiée à l'Histoire de la Médecine, appuyée par les grandes expériences qui ont fondé la Médecine moderne, la compréhension des épidémies les plus mortelles et les plus insolites, avec des documents d'époque (parce que c'est cool les belles images, et les petites gravures), des fois on saupoudre tout ça avec des conneries...»;;;https://www.youtube.com/channel/UCDqEttzOpPbDoeC05HRPPDQ;UCDqEttzOpPbDoeC05HRPPDQ;Asclépios;;yes;114;80435;18;16640;FR;2016-07-14T22:23:51.000Z;1187
124;46;Histoire;Passé Sauvage;https://www.youtube.com/channel/UCLhOJJbPciPdocXTaAk2SdA;Archéologie-Anthropologie-Histoire;« Tu aimes Indiana Jones ? Tu vas être déçu-e alors...»;;;https://www.youtube.com/channel/UCLhOJJbPciPdocXTaAk2SdA;UCLhOJJbPciPdocXTaAk2SdA;Passé sauvage;;yes;112;66329;36;8543;FR;2015-08-22T19:20:37.000Z;1514
125;56;Géographie et géopolitique;MisterGeopolitix;https://www.youtube.com/channel/UCX9lsdsTKfTi1eqoyL-RS-Q;Géopolitique;« Salut les aventuriers!»;;;https://www.youtube.com/channel/UCX9lsdsTKfTi1eqoyL-RS-Q;UCX9lsdsTKfTi1eqoyL-RS-Q;Mister Geopolitix;;yes;104;81262;71;19897;FR;2016-01-19T11:02:57.000Z;1364
126;58;Géographie et géopolitique;Terra Incognita;https://www.youtube.com/channel/UCd_ho3fwV39cuki6hKUSwZg;;« Bienvenue en Terra Incognita, la chaîne de vulgarisation de géographie ! Parce que la géographie ce n'est pas que savoir placer des pays sur une carte !»;;;https://www.youtube.com/channel/UCd_ho3fwV39cuki6hKUSwZg;UCd_ho3fwV39cuki6hKUSwZg;Terra Incognita;;yes;103;2328;43;768;FR;2016-02-28T22:54:08.000Z;1324
127;276;Audio-visuel, cinéma et jeu vidéo;Sweetberry (Symbolik);https://www.youtube.com/channel/UCO2NDv2Q76ur2Muue6WbCWQ;Symbole-topoi-figures du Cinéma;« Bonjour ! Je suis une cinéphile amoureuse des petites choses que l'on ne remarque pas forcement tout de suite. J'adore décrypter les films, les rôles des personnages, les scénarios ou encore les symboliques utilisées. J'aime aussi les gifs de chats.»;;;https://www.youtube.com/channel/UCO2NDv2Q76ur2Muue6WbCWQ;UCO2NDv2Q76ur2Muue6WbCWQ;SweetBerry;;yes;29;3753;148;1105;FR;2015-06-12T08:25:02.000Z;1585
128;267;Audio-visuel, cinéma et jeu vidéo;Les Thaumatropes;https://www.youtube.com/channel/UCGpmajWNv0fpY7q0MiPtVSA;Cinéma-cinéphile-analyse de plan;« Il existe déjà plusieurs chaines qui s'intéressent au cinéma, difficile donc que faire la différence. Nos émissions sont généralement assez approfondies, basée sur l'analyse, plutôt destinées aux cinéphiles.»;;;https://www.youtube.com/channel/UCGpmajWNv0fpY7q0MiPtVSA;UCGpmajWNv0fpY7q0MiPtVSA;Les Thaumatropes;;yes;40;7980;116;4676;not set;2014-05-04T22:29:48.000Z;1989
129;268;Audio-visuel, cinéma et jeu vidéo;Licarion Rock;https://www.youtube.com/channel/UCvepqhNoU72y0Q8JvNDOmng;Films grand public-Société-représentativité des minorités;« Critiques de films, séries, dessins animés, et à peu près tout ce qui se regarde et s'entend en même temps. (cette définition n'inclut pas Michel Drucker) »;;;https://www.youtube.com/channel/UCvepqhNoU72y0Q8JvNDOmng;UCvepqhNoU72y0Q8JvNDOmng;Licarion Rock;;yes;33;110432;116;142524;not set;2014-04-24T13:20:00.000Z;1999
130;261;Audio-visuel, cinéma et jeu vidéo;Le Ciné-Club de M. Bobine;https://www.youtube.com/channel/UCMAOGbM65D7VzbVTmpKeKgQ;Conception de film-réception des films-avenirs des films-classiques-grands réalisateurs et réalisatrices;« Le ciné-club de M. Bobine est une émission sur le cinéma, réalisée entièrement en animation.»;;;https://www.youtube.com/channel/UCMAOGbM65D7VzbVTmpKeKgQ;UCMAOGbM65D7VzbVTmpKeKgQ;Le ciné-club de M. Bobine;;yes;37;38914;93;21248;FR;2014-06-18T21:30:50.000Z;1944
131;259;Audio-visuel, cinéma et jeu vidéo;Game Spectrum;https://www.youtube.com/user/XxIxostxX;Jeux vidéo-gameplay-philosophie du jeu vidéo-Game Studies;« Game Spectrum est une série mensuelle de vidéos d'éducation populaire et de popularisation autour des jeux. Ou en tout cas ça essaye de l'être. »;;https://www.youtube.com/channel/UCoE1zHB74QsR22l-J6uK53Q;https://www.youtube.com/channel/UCoE1zHB74QsR22l-J6uK53Q;UCoE1zHB74QsR22l-J6uK53Q;Game Spectrum;;yes;36;35188;12;5960;FR;2011-07-08T23:07:30.000Z;3020
132;253;Audio-visuel, cinéma et jeu vidéo;Détective Geeleek;https://www.youtube.com/channel/UCWQu_FwZKlyhLTBr81BZ2Kg;Films-séries télé et plein d'autres trucs;« Je mène des enquêtes pour vous ou des clients sur certains aspects récurrents du Cinéma, des Séries, et des Internets.»;;;https://www.youtube.com/channel/UCWQu_FwZKlyhLTBr81BZ2Kg;UCWQu_FwZKlyhLTBr81BZ2Kg;Détective Geeleek  consultant en série et film;;yes;35;198;57;151;FR;2016-12-08T17:06:03.000Z;1040
133;265;Audio-visuel, cinéma et jeu vidéo;Les relous du garage;https://www.youtube.com/channel/UC-liFKW7eNY_nZ5T7yYxa5g;Films grand public-comparaison entre films;« Bienvenue sur la chaine des relous du garage ! On y parle de cinéma, tous les 4, et... Bah c'est déjà pas mal. »;;;https://www.youtube.com/channel/UC-liFKW7eNY_nZ5T7yYxa5g;UC-liFKW7eNY_nZ5T7yYxa5g;Les Relous;;yes;34;249;20;62;not set;2016-03-30T20:06:57.000Z;1293
