Ordre;Discipline;Nom de la chaine YouTube;URL de la chaine YouTube;Mots-clés;Description (par le/la vidéaste);Description (par l'auteure du rapport)
37.0;Histoire;AlterHis;https://www.youtube.com/channel/UCacgofzftbbkUhcftPvUzQg;Uchronie-Histoire-Histoire alternative-anticipation;« Chaîne Youtube francophone entièrement dédiée aux scénarios d'histoire alternative, d'uchronie et d'anticipation. Si tu t'es déjà demandé ce qui se serait passé si telle ou telle chose était arrivée dans l'histoire, si Napoléon avait gagné à Waterloo, si Hitler avait gagné la seconde guerre mondiale ou bien même d'où pourrait venir un prochain conflit nucléaire, alors abonne-toi au plus vite ! :) N'hésite pas à me suggérer des scénarios dans les commentaires ou n'importe où du moment que je peux les lire. »;
23.0;Langue française, langues et linguistique;Apprendre une langue;https://www.youtube.com/channel/UCvVafVKjq6rA3bL4yGcaB8w/videos?disable_polymer=1;FLE-techniques d’apprentissage-langues étrangères;;Chaîne plutôt de type vlog où le vidéaste présente ses conseils pour apprendre efficacement une langue (outils, stratégies, conseils…)
4.0;Lettres et littérature;L’Archéonaute;https://www.youtube.com/channel/UCTPzoCNshrEPdLSzbiJaFdg;Mythologie-légendes-poésie;« Vulgarisation d'épisodes mythologiques en vers. Ça paraît chiant comme ça mais en fait c'est une tuerie, surtout quand les dieux et les titans se foutent sur la gueule. Cordialement. L'Archéonaute. »;
17.0;Lettres et littérature;Non mais t’as vu ce que t’écoutes ? de Link the sun;https://www.youtube.com/playlist?list=PL2F8A672E0C9D8223;Poésie-humour;;Très intéressant pour étudier le style et les figures de style (sur des chansons du top 50!)
38.0;Histoire;Analepse;https://www.youtube.com/channel/UCDB2qWL_20CgNC22fgPz00w;Personnages historiques-moments historiques-Art;« Analepse vous propose de revenir sur un personnage, un évènement, un contexte historique au travers d'œuvres artistiques et culturelles.»;
31.0;Langue française, langues et linguistique;Langues de Cha’;https://www.youtube.com/channel/UC0efyK_-Athm8yhyjNSqndQ;linguistique générale;« Je parle beaucoup de sciences du langage/linguistique mais aussi d'autres sciences sociales. »;
19.0;Lettres et littérature;Piko Books;https://www.youtube.com/channel/UCln6vislBhUyBov49ttln0w;Booktube;;Présente ses lectures du moment et ce qu'elle en a pensé: chroniques éclairées vraiment intéressantes, notamment pour les documentalistes.
7.0;Lettres et littérature;Le marque-page;https://www.youtube.com/channel/UCJgYXYDJV9UZfxMcKuvc-0g;Littérature générale;;Retour sur une œuvre par épisode: très clair, bien rythmé, réflexions intéressantes...
1.0;Lettres et littérature;Bulledop;https://www.youtube.com/user/bulledop;Booktube;« Booktubeuse / blogueuse, réputée comme étant une sauvageonne je dévore tous mots égarés qui croiseraient ma route.»;
81.0;Philosophie et esprit critique;Comptoir du futur;https://www.youtube.com/channel/UCLfQGVZGvsYCvEIwGwFrElg;Vlog-Podcast-Sciences-Science-fiction;« Le comptoir du futur, c’est l’histoire de deux amis journalistes. Ils se désespèrent que les grands médias portent si peu d’intérêt à la science et à la science-fiction… Pour eux, ce sont pourtant deux moteurs fondamentaux. L’un guide notre progrès, l’autre nos espoirs tout en nous mettant en garde. A force d’échanger sur ces sujets devant quelques pintes, ils se sont décidés à vous inviter à leur table afin de partager avec vous sur des sujets prospectifs à l’aune de ce que la science-fiction peut nous enseigner.»;
